"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 24 11:08:29 GMT 2021","Tue Aug 24 11:08:29 GMT 2021","169","","tests.WikipediaTests","","tests.WikipediaTests","logInInValidTest","TC-2, Log in with invalid datas.",""
"broken","Tue Aug 24 11:08:30 GMT 2021","Tue Aug 24 11:08:30 GMT 2021","160","","tests.WikipediaTests","","tests.WikipediaTests","deletePage","TC-8, Data delete.",""
"broken","Tue Aug 24 11:08:29 GMT 2021","Tue Aug 24 11:08:29 GMT 2021","137","","tests.WikipediaTests","","tests.WikipediaTests","logOutTest","TC-3, Log out.",""
"broken","Tue Aug 24 11:08:26 GMT 2021","Tue Aug 24 11:08:29 GMT 2021","2591","","tests.WikipediaTests","","tests.WikipediaTests","dataListTest","TC-5, Listing data from a table.",""
"broken","Tue Aug 24 11:08:30 GMT 2021","Tue Aug 24 11:08:30 GMT 2021","211","","tests.WikipediaTests","","tests.WikipediaTests","editPage","TC-7, Data edit.",""
"broken","Tue Aug 24 11:08:30 GMT 2021","Tue Aug 24 11:08:30 GMT 2021","162","","tests.WikipediaTests","","tests.WikipediaTests","logInValidTest","TC-1, Log in with valid datas.",""
"broken","Tue Aug 24 11:08:29 GMT 2021","Tue Aug 24 11:08:29 GMT 2021","188","","tests.WikipediaTests","","tests.WikipediaTests","writeFromFile","TC-10, Write data from file.",""
"broken","Tue Aug 24 11:08:30 GMT 2021","Tue Aug 24 11:08:30 GMT 2021","159","","tests.WikipediaTests","","tests.WikipediaTests","newPage","TC-6, Data entry.",""
"broken","Tue Aug 24 11:08:29 GMT 2021","Tue Aug 24 11:08:29 GMT 2021","140","","tests.WikipediaTests","","tests.WikipediaTests","PrivacyPolicyTest","TC-4, Privacy and policy.",""
"broken","Tue Aug 24 11:08:29 GMT 2021","Tue Aug 24 11:08:30 GMT 2021","156","","tests.WikipediaTests","","tests.WikipediaTests","writeToFile","TC-9, Save data to file.",""
